School_ID,Long_Name,Primary_Category,School_Latitude,School_Longitude,Graduation_4_Year_School_Pct_Year_2,College_Enrollment_School_Pct_Year_2,SAT_Grade_11_Score_School_Avg,Transition_Gap
400161,Chicago Collegiate Charter School,HS,41.679318,-87.617968,89.3,57.1,834,32.199999999999996
400162,Intrinsic Charter School,HS,41.938988,-87.741129,89.1,74.1,919,15.0
400164,Instituto - Justice and Leadership,HS,41.845957,-87.685903,36.4,11.9,0,24.5
400169,Noble - ITW David Speer Academy,HS,41.92563,-87.769808,92.3,80.0,906,12.299999999999997
400170,Noble - The Noble Academy,HS,41.906879,-87.645577,87.1,84.7,877,2.3999999999999915
400172,ASPIRA Business and Finance,HS,41.935726,-87.718204,71.3,44.1,826,27.199999999999996
400176,Excel Academy Southwest,HS,41.765929,-87.69073,41.2,34.6,694,6.600000000000001
400179,Noble Mansueto High School,HS,41.800136,-87.728003,93.5,76.1,923,17.400000000000006
609674,Chicago Vocational Career Academy High School,HS,41.737174,-87.573268,82.7,41.7,779,41.0
609676,Paul Laurence Dunbar Career Academy High School,HS,41.840226,-87.617637,71.8,40.7,754,31.099999999999994
609678,William Jones College Preparatory High School,HS,41.873066,-87.627675,94.1,87.0,"1,276",7.099999999999994
609679,Charles Allen Prosser Career Academy High School,HS,41.920059,-87.761048,91.4,74.0,903,17.400000000000006
609680,Walter Payton College Preparatory High School,HS,41.901575,-87.635385,97.2,91.1,"1,334",6.1000000000000085
609682,Ellen H Richards Career Academy High School,HS,41.802881,-87.662278,74.5,48.7,736,25.799999999999997
609691,North-Grand High School,HS,41.911674,-87.735238,82.0,60.2,841,21.799999999999997
609692,Neal F Simeon Career Academy High School,HS,41.745781,-87.63541,86.1,53.1,802,32.99999999999999
609693,George Westinghouse College Prep,HS,41.889977,-87.707332,94.1,86.4,"1,005",7.699999999999989
609694,John Hancock College Preparatory High School,HS,41.791464,-87.72447,97.1,80.4,"1,078",16.69999999999999
609695,Roald Amundsen High School,HS,41.975067,-87.679484,93.2,77.7,998,15.5
609698,William J Bogan High School,HS,41.749376,-87.721097,70.3,44.5,799,25.799999999999997
609704,David G Farragut Career Academy High School,HS,41.84856,-87.708706,70.4,82.4,814,-12.0
609705,Christian Fenger Academy High School,HS,41.689951,-87.637572,70.3,59.5,783,10.799999999999997
609708,Edwin G. Foreman College and Career Academy,HS,41.939797,-87.754167,65.9,47.6,797,18.300000000000004
609709,Gage Park High School,HS,41.791013,-87.688954,75.9,50.7,793,25.200000000000003
609710,John M Harlan Community Academy High School,HS,41.718372,-87.620623,75.9,36.6,759,39.300000000000004
609712,Emil G Hirsch Metropolitan High School,HS,41.753748,-87.601727,31.8,26.7,763,5.100000000000001
609713,Hyde Park Academy High School,HS,41.782257,-87.586615,85.4,42.1,785,43.300000000000004
609715,Thomas Kelly College Preparatory,HS,41.818729,-87.694639,68.5,68.2,885,0.29999999999999716
609716,Kelvyn Park High School,HS,41.927918,-87.735999,71.3,63.2,810,8.099999999999994
609718,John F Kennedy High School,HS,41.789961,-87.78084,79.4,71.9,894,7.5
609719,Lake View High School,HS,41.954764,-87.668953,86.5,62.3,893,24.200000000000003
609720,Albert G Lane Technical High School,HS,41.946645,-87.691013,97.4,90.9,"1,256",6.5
609722,Manley Career Academy High School,HS,41.870939,-87.699896,45.5,10.0,716,35.5
609723,John Marshall Metropolitan High School,HS,41.878444,-87.70805,67.9,32.1,740,35.800000000000004
609724,Stephen T Mather High School,HS,41.987589,-87.702496,86.3,70.8,916,15.5
609725,Morgan Park High School,HS,41.692035,-87.665658,78.0,74.9,810,3.0999999999999943
609726,Gwendolyn Brooks College Preparatory Academy HS,HS,41.692763,-87.616353,91.0,65.5,"1,111",25.5
609727,Wendell Phillips Academy High School,HS,41.82388,-87.619796,72.2,61.8,764,10.400000000000006
609728,Theodore Roosevelt High School,HS,41.964828,-87.714819,75.7,55.6,841,20.1
609729,Carl Schurz High School,HS,41.946365,-87.735612,80.4,62.5,852,17.900000000000006
609730,Nicholas Senn High School,HS,41.989029,-87.667136,85.0,75.2,933,9.799999999999997
609732,Charles P Steinmetz College Preparatory HS,HS,41.935634,-87.783515,75.5,63.0,833,12.5
609733,Roger C Sullivan High School,HS,42.002688,-87.669192,69.0,51.7,878,17.299999999999997
609734,William Howard Taft High School,HS,41.982961,-87.791547,92.0,72.5,965,19.5
609735,Edward Tilden Career Community Academy HS,HS,41.80751,-87.642966,61.8,35.0,800,26.799999999999997
609737,Friedrich W Von Steuben Metropolitan Science HS,HS,41.973185,-87.713386,93.9,76.0,"1,025",17.900000000000006
609738,Lincoln Park High School,HS,41.918268,-87.646009,79.4,88.5,"1,081",-9.099999999999994
609739,George Washington High School,HS,41.688137,-87.53757,88.3,63.0,866,25.299999999999997
609740,Wells Community Academy High School,HS,41.898995,-87.667483,78.5,50.8,768,27.700000000000003
609741,Gurdon S Hubbard High School,HS,41.780526,-87.718014,82.4,65.6,874,16.80000000000001
609746,Kenwood Academy High School,HS,41.803772,-87.590421,90.6,71.9,975,18.69999999999999
609748,Consuella B York Alternative High School,HS,41.842533,-87.695261,2.9,2.9,721,0.0
609749,Northside College Preparatory High School,HS,41.981315,-87.708708,96.4,95.1,"1,303",1.3000000000000114
609751,Dr  Martin Luther King  Jr  College Prep HS,HS,41.813675,-87.603874,93.0,73.1,939,19.900000000000006
609753,Chicago High School for Agricultural Sciences,HS,41.691221,-87.71777,86.2,70.8,951,15.400000000000006
609754,Chicago Military Academy High School,HS,41.830555,-87.619216,84.6,50.9,856,33.699999999999996
609755,Whitney M Young Magnet High School,HS,41.878603,-87.664233,94.8,88.5,"1,297",6.299999999999997
609756,Marie Sklodowska Curie Metropolitan High School,HS,41.80306,-87.722042,76.9,68.5,900,8.400000000000006
609759,Roberto Clemente Community Academy High School,HS,41.902626,-87.686906,75.2,56.3,785,18.900000000000006
609760,George Washington Carver Military Academy HS,HS,41.65629,-87.59062,85.1,63.8,873,21.299999999999997
