,Graduation_4_Year_School_Pct_Year_2,College_Enrollment_School_Pct_Year_2,Transition_Gap,disadvantage_score,poverty_rate,log_median_income,unemployment_rate,single_parent_rate,rent_burden_rate
count,128.0,128.0,128.0,115.0,115.0,115.0,115.0,115.0,115.0
mean,78.88046875,59.89453125,18.9859375,0.8159842543428739,0.19857499173642076,11.07345946564424,0.10202021920967518,0.25328808550107096,0.4828155309535063
std,17.089933762277013,18.329659749984362,12.196648141429135,1.9656402348109665,0.12367000310373223,0.527818365876797,0.07585054939716028,0.17163907250196367,0.14971739316785937
min,2.9,2.9,-12.0,-2.3533109310854066,0.0132997843278217,9.675394271496003,0.0051338467180051,0.0,0.1779935275080906
10%,63.34,36.95,5.450000000000007,-1.4165705248679246,0.0638502346459906,10.317310611345498,0.0292876502799106,0.06952193317518392,0.2792723081325289
25%,72.94999999999999,47.6,9.624999999999998,-0.68669499034263,0.0952810116399124,10.782086747635239,0.0471253023286081,0.12743237501770285,0.39581705609729073
50%,82.55000000000001,62.4,18.450000000000006,0.6478927114460618,0.1648847707293894,11.12876186028198,0.0855548667079975,0.2065217391304347,0.4690831556503198
75%,90.3,72.725,25.799999999999997,1.9906428744068139,0.2642943616164424,11.405216340121852,0.12358683604740385,0.3651833773281621,0.5936861868500442
90%,93.93,81.49,35.15,3.0869028009502757,0.3671218405073371,11.746741424278087,0.20178016542402366,0.5040879205259874,0.6666666666666666
max,97.4,95.1,55.2,7.371984042475685,0.6335586247428739,12.298583456208933,0.4255788313120176,0.7907573812580231,0.8326848249027238
